name,confirmation_date,congress_no,variable,value,party
Allyson K. Duncan,2003-07-17,108,D_yea,43,Dem
Carlos T. Bea,2003-09-29,108,D_yea,37,Dem
Richard C. Wesley,2003-06-11,108,D_yea,45,Dem
Michael Chertoff,2003-06-09,108,D_yea,41,Dem
Steven M. Colloton,2003-09-04,108,D_yea,42,Dem
Consuelo Maria Callahan,2003-05-22,108,D_yea,47,Dem
Edward C. Prado,2003-05-01,108,D_yea,46,Dem
Timothy M. Tymkovich,2003-04-01,108,D_yea,7,Dem
Jeffrey S. Sutton,2003-04-29,108,D_yea,2,Dem
Deborah L. Cook,2003-05-05,108,D_yea,17,Dem
Jay S. Bybee,2003-03-13,108,D_yea,26,Dem
Reena Raggi,2002-09-20,107,D_yea,44,Dem
Julia Smith Gibbons,2002-07-29,107,D_yea,49,Dem
D. Brooks Smith,2002-07-31,107,D_yea,16,Dem
Jeffrey R. Howard,2002-04-23,107,D_yea,50,Dem
Harris L. Hartz,2001-12-06,107,D_yea,50,Dem
Richard R. Clifton,2002-07-18,107,D_yea,50,Dem
Edith Brown Clement,2001-11-13,107,D_yea,49,Dem
Dennis W. Shedd,2002-11-19,107,D_yea,7,Dem
Sharon Prost,2001-09-21,107,D_yea,50,Dem
Barrington D. Parker,2001-10-11,107,D_yea,50,Dem
Terrence L. O'Brien,2002-04-15,107,D_yea,49,Dem
Michael J. Melloy,2002-02-11,107,D_yea,48,Dem
William J. Riley,2001-08-02,107,D_yea,49,Dem
Roger L. Gregory,2001-07-20,107,D_yea,48,Dem
Roopali H. Desai,2022-08-04,117,R_yea,19,Rep
Florence Y. Pan,2022-09-20,117,R_yea,4,Rep
Sarah A. L. Merriam,2022-09-15,117,R_yea,3,Rep
Lara E. Montecalvo,2022-09-14,117,R_yea,3,Rep
Salvador Mendoza Jr,2022-09-12,117,R_yea,3,Rep
John Z. Lee,2022-09-07,117,R_yea,3,Rep
Stephanie Dawkins Davis,2022-05-24,117,R_yea,2,Rep
Julianna Michelle Childs,2022-07-19,117,R_yea,15,Rep
Leonard Philip Stark,2022-02-09,117,R_yea,12,Rep
Alison J. Nathan,2022-03-23,117,R_yea,3,Rep
Andre B. Mathis,2022-09-08,117,R_yea,1,Rep
Holly A. Thomas,2022-01-20,117,R_yea,0,Rep
Gabriel P. Sanchez,2022-01-12,117,R_yea,3,Rep
Lucy Haeran Koh,2021-12-13,117,R_yea,0,Rep
Beth Robinson,2021-11-01,117,R_yea,2,Rep
Jennifer Sung,2021-12-15,117,R_yea,0,Rep
Toby J. Heytens,2021-11-01,117,R_yea,4,Rep
Myrna Perez,2021-10-25,117,R_yea,0,Rep
Veronica S. Rossman,2021-09-20,117,R_yea,2,Rep
Eunice C. Lee,2021-08-07,117,R_yea,0,Rep
Gustavo A. Gelpi,2021-10-18,117,R_yea,4,Rep
Candace Jackson-Akiwumi,2021-06-24,117,R_yea,3,Rep
Ketanji Brown Jackson,2021-06-14,117,R_yea,3,Rep
Tiffany P. Cunningham,2021-07-19,117,R_yea,15,Rep
Thomas L. Kirsch II,2020-12-15,116,R_yea,48,Rep
Cory T. Wilson,2020-06-24,116,R_yea,52,Rep
Justin Reed Walker,2020-06-18,116,R_yea,51,Rep
Andrew Lynn Brasher,2020-02-11,116,R_yea,52,Rep
Lawrence VanDyke,2019-12-11,116,R_yea,51,Rep
Robert J. Luck,2019-11-19,116,R_yea,53,Rep
Barbara Lagoa,2019-11-20,116,R_yea,53,Rep
Patrick J. Bumatay,2019-12-10,116,R_yea,53,Rep
William Joseph Nardini,2019-11-07,116,R_yea,49,Rep
Danielle J. Hunsaker,2019-11-06,116,R_yea,49,Rep
Steven J. Menashi,2019-11-14,116,R_yea,51,Rep
Peter Joseph Phipps,2019-07-16,116,R_yea,53,Rep
Kenneth Kiyul Lee,2019-05-15,116,R_yea,52,Rep
Daniel P. Collins,2019-05-21,116,R_yea,53,Rep
Daniel Aaron Bress,2019-07-09,116,R_yea,53,Rep
Allison Jones Rushing,2019-03-05,116,R_yea,53,Rep
Chad A. Readler,2019-03-06,116,R_yea,52,Rep
Neomi J. Rao,2019-03-13,116,R_yea,53,Rep
Michael H. Park,2019-05-09,116,R_yea,52,Rep
Eric E. Murphy,2019-03-07,116,R_yea,52,Rep
Eric D. Miller,2019-02-26,116,R_yea,53,Rep
Paul B. Matey,2019-03-12,116,R_yea,53,Rep
Joseph F. Bianco,2019-05-08,116,R_yea,52,Rep
Bridget S. Bade,2019-03-26,116,R_yea,53,Rep
Jonathan A. Kobes,2018-12-11,115,R_yea,50,Rep
Ryan Douglas Nelson,2018-10-11,115,R_yea,50,Rep
Richard J. Sullivan,2018-10-11,115,R_yea,50,Rep
Julius Ness Richardson,2018-08-16,115,R_yea,42,Rep
A. Marvin Quattlebaum Jr.,2018-08-16,115,R_yea,43,Rep
David James Porter,2018-10-11,115,R_yea,50,Rep
Britt Cagle Grant,2018-07-31,115,R_yea,49,Rep
Amy J. St. Eve,2018-05-14,115,R_yea,44,Rep
Michael Y. Scudder,2018-05-14,115,R_yea,44,Rep
Andrew S. Oldham,2018-07-18,115,R_yea,50,Rep
Mark Jeremy Bennett,2018-07-10,115,R_yea,23,Rep
John B. Nalbandian,2018-05-15,115,R_yea,50,Rep
David Ryan Stras,2018-01-30,115,R_yea,49,Rep
Kurt D. Engelhardt,2018-05-09,115,R_yea,49,Rep
Stuart Kyle Duncan,2018-04-24,115,R_yea,49,Rep
Michael B. Brennan,2018-05-10,115,R_yea,49,Rep
Elizabeth L. Branch,2018-02-27,115,R_yea,48,Rep
Joel M. Carson III,2018-05-15,115,R_yea,50,Rep
James C. Ho,2017-12-14,115,R_yea,50,Rep
Don R. Willett,2017-12-13,115,R_yea,50,Rep
Gregory G. Katsas,2017-11-28,115,R_yea,49,Rep
Leonard Steven Grasz,2017-12-12,115,R_yea,50,Rep
Stephanos Bibas,2017-11-02,115,R_yea,52,Rep
Ralph R. Erickson,2017-09-28,115,R_yea,49,Rep
Allison H. Eid,2017-11-02,115,R_yea,52,Rep
Kevin Christopher Newsom,2017-08-01,115,R_yea,50,Rep
Joan Louise Larsen,2017-11-01,115,R_yea,52,Rep
John Kenneth Bush,2017-07-20,115,R_yea,51,Rep
Amy Coney Barrett,2017-10-31,115,R_yea,52,Rep
Amul R. Thapar,2017-05-25,115,R_yea,52,Rep
Kara Farnandez Stoll,2015-07-07,114,R_yea,50,Rep
Luis Felipe Restrepo,2016-01-11,114,R_yea,39,Rep
Pamela Harris,2014-07-28,113,R_yea,0,Rep
Cheryl Ann Krause,2014-07-07,113,R_yea,41,Rep
Gregg Jeffrey Costa,2014-05-20,113,R_yea,42,Rep
Julie E. Carnes,2014-07-21,113,R_yea,43,Rep
Robin S. Rosenbaum,2014-05-12,113,R_yea,38,Rep
David Jeremiah Barron,2014-05-22,113,R_yea,0,Rep
John B. Owens,2014-03-31,113,R_yea,2,Rep
Nancy L. Moritz,2014-05-05,113,R_yea,36,Rep
Michelle T. Friedland,2014-04-28,113,R_yea,1,Rep
Carolyn B. McHugh,2014-03-12,113,R_yea,44,Rep
Jill A. Pryor,2014-09-08,113,R_yea,43,Rep
Robert Leon Wilkins,2014-01-13,113,R_yea,0,Rep
Cornelia T. L. Pillard,2013-12-12,113,R_yea,0,Rep
Patricia Ann Millett,2013-12-10,113,R_yea,2,Rep
Todd M. Hughes,2013-09-24,113,R_yea,46,Rep
Raymond T. Chen,2013-08-01,113,R_yea,44,Rep
Gregory Alan Phillips,2013-07-08,113,R_yea,37,Rep
Jane Kelly,2013-04-24,113,R_yea,44,Rep
Richard Gary Taranto,2013-03-11,113,R_yea,41,Rep
Srikanth Srinivasan,2013-05-23,113,R_yea,44,Rep
Patty Shwartz,2013-04-09,113,R_yea,10,Rep
William J. Kayatta Jr.,2013-02-13,113,R_yea,33,Rep
Robert E. Bacharach,2013-02-25,113,R_yea,41,Rep
Paul J. Watford,2012-05-21,112,R_yea,9,Rep
Jacqueline H. Nguyen,2012-05-07,112,R_yea,39,Rep
Stephanie Dawn Thacker,2012-04-16,112,R_yea,41,Rep
Adalberto Jose Jordan,2012-02-15,112,R_yea,41,Rep
Evan Jonathan Wallach,2011-11-08,112,R_yea,46,Rep
Morgan Christen,2011-12-15,112,R_yea,43,Rep
Stephen A. Higginson,2011-10-31,112,R_yea,37,Rep
Christopher Droney,2011-11-28,112,R_yea,39,Rep
Henry F. Floyd,2011-10-03,112,R_yea,46,Rep
Susan L. Carney,2011-05-17,112,R_yea,19,Rep
Bernice Bouie Donald,2011-09-06,112,R_yea,44,Rep
Jimmie V. Reyna,2011-04-04,112,R_yea,39,Rep
Mary Helen Murguia,2010-12-22,111,R_yea,36,Rep
Raymond Joseph Lohier Jr.,2010-12-19,111,R_yea,37,Rep
O. Rogeriee Thompson,2010-03-17,111,R_yea,40,Rep
Denny Chin,2010-04-22,111,R_yea,40,Rep
Barbara Milano Keenan,2010-03-02,111,R_yea,40,Rep
Thomas I. Vanaskie,2010-04-21,111,R_yea,19,Rep
Jane Branstetter Stranch,2010-09-13,111,R_yea,16,Rep
Beverly Baldwin Martin,2010-01-20,111,R_yea,38,Rep
Joseph A. Greenaway Jr.,2010-02-09,111,R_yea,31,Rep
Gerard E. Lynch,2009-09-17,111,R_yea,36,Rep
Andre M. Davis,2009-11-09,111,R_yea,16,Rep
David F. Hamilton,2009-11-19,111,R_yea,1,Rep
Helene N. White,2008-06-24,110,R_yea,15,Rep
G. Steven Agee,2008-05-20,110,R_yea,48,Rep
John Daniel Tinder,2007-12-18,110,R_yea,47,Rep
Norman Randy Smith,2007-02-15,110,R_yea,46,Rep
Debra Ann Livingston,2007-05-09,110,R_yea,43,Rep
Thomas M. Hardiman,2007-03-15,110,R_yea,46,Rep
Leslie Southwick,2007-10-24,110,R_yea,49,Rep
Kent A. Jordan,2006-12-08,109,R_yea,48,Rep
Kimberly Ann Moore,2006-09-05,109,R_yea,53,Rep
Jerome A. Holmes,2006-07-25,109,R_yea,54,Rep
Milan D. Smith Jr.,2006-05-16,109,R_yea,49,Rep
Sandra Segal Ikuta,2006-06-19,109,R_yea,45,Rep
Michael A. Chagares,2006-04-04,109,R_yea,54,Rep
Brett M. Kavanaugh,2006-05-26,109,R_yea,53,Rep
Thomas B. Griffith,2005-06-14,109,R_yea,53,Rep
William H. Pryor Jr.,2005-06-09,109,R_yea,51,Rep
Susan Bieke Neilson,2005-10-27,109,R_yea,55,Rep
David W. McKeague,2005-06-09,109,R_yea,53,Rep
Richard A. Griffin,2005-06-09,109,R_yea,53,Rep
Priscilla Richman Owen,2005-05-25,109,R_yea,53,Rep
Franklin S. Van Antwerpen,2004-05-20,108,R_yea,49,Rep
Diane S. Sykes,2004-06-24,108,R_yea,49,Rep
Raymond W. Gruender,2004-05-20,108,R_yea,50,Rep
Allyson K. Duncan,2003-07-17,108,R_yea,49,Rep
Carlos T. Bea,2003-09-29,108,R_yea,49,Rep
Richard C. Wesley,2003-06-11,108,R_yea,50,Rep
Michael Chertoff,2003-06-09,108,R_yea,46,Rep
Steven M. Colloton,2003-09-04,108,R_yea,51,Rep
Consuelo Maria Callahan,2003-05-22,108,R_yea,51,Rep
Edward C. Prado,2003-05-01,108,R_yea,50,Rep
Timothy M. Tymkovich,2003-04-01,108,R_yea,51,Rep
Jeffrey S. Sutton,2003-04-29,108,R_yea,50,Rep
Deborah L. Cook,2003-05-05,108,R_yea,49,Rep
Jay S. Bybee,2003-03-13,108,R_yea,47,Rep
Reena Raggi,2002-09-20,107,R_yea,40,Rep
Julia Smith Gibbons,2002-07-29,107,R_yea,45,Rep
D. Brooks Smith,2002-07-31,107,R_yea,48,Rep
Jeffrey R. Howard,2002-04-23,107,R_yea,48,Rep
Harris L. Hartz,2001-12-06,107,R_yea,48,Rep
Richard R. Clifton,2002-07-18,107,R_yea,47,Rep
Edith Brown Clement,2001-11-13,107,R_yea,49,Rep
Dennis W. Shedd,2002-11-19,107,R_yea,48,Rep
Sharon Prost,2001-09-21,107,R_yea,46,Rep
Barrington D. Parker,2001-10-11,107,R_yea,49,Rep
Terrence L. O'Brien,2002-04-15,107,R_yea,48,Rep
Michael J. Melloy,2002-02-11,107,R_yea,42,Rep
William J. Riley,2001-08-02,107,R_yea,47,Rep
Roger L. Gregory,2001-07-20,107,R_yea,44,Rep
Roopali H. Desai,2022-08-04,117,I_yea,2,Ind
Florence Y. Pan,2022-09-20,117,I_yea,2,Ind
Sarah A. L. Merriam,2022-09-15,117,I_yea,2,Ind
Lara E. Montecalvo,2022-09-14,117,I_yea,2,Ind
Salvador Mendoza Jr,2022-09-12,117,I_yea,2,Ind
John Z. Lee,2022-09-07,117,I_yea,2,Ind
Stephanie Dawkins Davis,2022-05-24,117,I_yea,2,Ind
Julianna Michelle Childs,2022-07-19,117,I_yea,2,Ind
Leonard Philip Stark,2022-02-09,117,I_yea,2,Ind
Alison J. Nathan,2022-03-23,117,I_yea,1,Ind
Andre B. Mathis,2022-09-08,117,I_yea,2,Ind
Holly A. Thomas,2022-01-20,117,I_yea,2,Ind
Gabriel P. Sanchez,2022-01-12,117,I_yea,2,Ind
Lucy Haeran Koh,2021-12-13,117,I_yea,2,Ind
Beth Robinson,2021-11-01,117,I_yea,2,Ind
Jennifer Sung,2021-12-15,117,I_yea,2,Ind
Toby J. Heytens,2021-11-01,117,I_yea,2,Ind
Myrna Perez,2021-10-25,117,I_yea,2,Ind
Veronica S. Rossman,2021-09-20,117,I_yea,2,Ind
Eunice C. Lee,2021-08-07,117,I_yea,2,Ind
Gustavo A. Gelpi,2021-10-18,117,I_yea,2,Ind
Candace Jackson-Akiwumi,2021-06-24,117,I_yea,2,Ind
Ketanji Brown Jackson,2021-06-14,117,I_yea,2,Ind
Tiffany P. Cunningham,2021-07-19,117,I_yea,2,Ind
Thomas L. Kirsch II,2020-12-15,116,I_yea,0,Ind
Cory T. Wilson,2020-06-24,116,I_yea,0,Ind
Justin Reed Walker,2020-06-18,116,I_yea,0,Ind
Andrew Lynn Brasher,2020-02-11,116,I_yea,0,Ind
Lawrence VanDyke,2019-12-11,116,I_yea,0,Ind
Robert J. Luck,2019-11-19,116,I_yea,0,Ind
Barbara Lagoa,2019-11-20,116,I_yea,1,Ind
Patrick J. Bumatay,2019-12-10,116,I_yea,0,Ind
William Joseph Nardini,2019-11-07,116,I_yea,1,Ind
Danielle J. Hunsaker,2019-11-06,116,I_yea,1,Ind
Steven J. Menashi,2019-11-14,116,I_yea,0,Ind
Peter Joseph Phipps,2019-07-16,116,I_yea,0,Ind
Kenneth Kiyul Lee,2019-05-15,116,I_yea,0,Ind
Daniel P. Collins,2019-05-21,116,I_yea,0,Ind
Daniel Aaron Bress,2019-07-09,116,I_yea,0,Ind
Allison Jones Rushing,2019-03-05,116,I_yea,0,Ind
Chad A. Readler,2019-03-06,116,I_yea,0,Ind
Neomi J. Rao,2019-03-13,116,I_yea,0,Ind
Michael H. Park,2019-05-09,116,I_yea,0,Ind
Eric E. Murphy,2019-03-07,116,I_yea,0,Ind
Eric D. Miller,2019-02-26,116,I_yea,0,Ind
Paul B. Matey,2019-03-12,116,I_yea,0,Ind
Joseph F. Bianco,2019-05-08,116,I_yea,0,Ind
Bridget S. Bade,2019-03-26,116,I_yea,1,Ind
Jonathan A. Kobes,2018-12-11,115,I_yea,0,Ind
Ryan Douglas Nelson,2018-10-11,115,I_yea,0,Ind
Richard J. Sullivan,2018-10-11,115,I_yea,1,Ind
Julius Ness Richardson,2018-08-16,115,I_yea,1,Ind
A. Marvin Quattlebaum Jr.,2018-08-16,115,I_yea,1,Ind
David James Porter,2018-10-11,115,I_yea,0,Ind
Britt Cagle Grant,2018-07-31,115,I_yea,0,Ind
Amy J. St. Eve,2018-05-14,115,I_yea,2,Ind
Michael Y. Scudder,2018-05-14,115,I_yea,2,Ind
Andrew S. Oldham,2018-07-18,115,I_yea,0,Ind
Mark Jeremy Bennett,2018-07-10,115,I_yea,2,Ind
John B. Nalbandian,2018-05-15,115,I_yea,0,Ind
David Ryan Stras,2018-01-30,115,I_yea,0,Ind
Kurt D. Engelhardt,2018-05-09,115,I_yea,1,Ind
Stuart Kyle Duncan,2018-04-24,115,I_yea,0,Ind
Michael B. Brennan,2018-05-10,115,I_yea,0,Ind
Elizabeth L. Branch,2018-02-27,115,I_yea,1,Ind
Joel M. Carson III,2018-05-15,115,I_yea,1,Ind
James C. Ho,2017-12-14,115,I_yea,0,Ind
Don R. Willett,2017-12-13,115,I_yea,0,Ind
Gregory G. Katsas,2017-11-28,115,I_yea,0,Ind
Leonard Steven Grasz,2017-12-12,115,I_yea,0,Ind
Stephanos Bibas,2017-11-02,115,I_yea,0,Ind
Ralph R. Erickson,2017-09-28,115,I_yea,2,Ind
Allison H. Eid,2017-11-02,115,I_yea,0,Ind
Kevin Christopher Newsom,2017-08-01,115,I_yea,0,Ind
Joan Louise Larsen,2017-11-01,115,I_yea,0,Ind
John Kenneth Bush,2017-07-20,115,I_yea,0,Ind
Amy Coney Barrett,2017-10-31,115,I_yea,0,Ind
Amul R. Thapar,2017-05-25,115,I_yea,0,Ind
Kara Farnandez Stoll,2015-07-07,114,I_yea,1,Ind
Luis Felipe Restrepo,2016-01-11,114,I_yea,1,Ind
Pamela Harris,2014-07-28,113,I_yea,2,Ind
Cheryl Ann Krause,2014-07-07,113,I_yea,2,Ind
Gregg Jeffrey Costa,2014-05-20,113,I_yea,2,Ind
Julie E. Carnes,2014-07-21,113,I_yea,2,Ind
Robin S. Rosenbaum,2014-05-12,113,I_yea,2,Ind
David Jeremiah Barron,2014-05-22,113,I_yea,2,Ind
John B. Owens,2014-03-31,113,I_yea,2,Ind
Nancy L. Moritz,2014-05-05,113,I_yea,2,Ind
Michelle T. Friedland,2014-04-28,113,I_yea,2,Ind
Carolyn B. McHugh,2014-03-12,113,I_yea,2,Ind
Jill A. Pryor,2014-09-08,113,I_yea,2,Ind
Robert Leon Wilkins,2014-01-13,113,I_yea,2,Ind
Cornelia T. L. Pillard,2013-12-12,113,I_yea,2,Ind
Patricia Ann Millett,2013-12-10,113,I_yea,2,Ind
Todd M. Hughes,2013-09-24,113,I_yea,2,Ind
Raymond T. Chen,2013-08-01,113,I_yea,2,Ind
Gregory Alan Phillips,2013-07-08,113,I_yea,1,Ind
Jane Kelly,2013-04-24,113,I_yea,2,Ind
Richard Gary Taranto,2013-03-11,113,I_yea,2,Ind
Srikanth Srinivasan,2013-05-23,113,I_yea,2,Ind
Patty Shwartz,2013-04-09,113,I_yea,2,Ind
William J. Kayatta Jr.,2013-02-13,113,I_yea,2,Ind
Robert E. Bacharach,2013-02-25,113,I_yea,2,Ind
Paul J. Watford,2012-05-21,112,I_yea,2,Ind
Jacqueline H. Nguyen,2012-05-07,112,I_yea,2,Ind
Stephanie Dawn Thacker,2012-04-16,112,I_yea,1,Ind
Adalberto Jose Jordan,2012-02-15,112,I_yea,2,Ind
Evan Jonathan Wallach,2011-11-08,112,I_yea,2,Ind
Morgan Christen,2011-12-15,112,I_yea,2,Ind
Stephen A. Higginson,2011-10-31,112,I_yea,2,Ind
Christopher Droney,2011-11-28,112,I_yea,2,Ind
Henry F. Floyd,2011-10-03,112,I_yea,1,Ind
Susan L. Carney,2011-05-17,112,I_yea,1,Ind
Bernice Bouie Donald,2011-09-06,112,I_yea,2,Ind
Jimmie V. Reyna,2011-04-04,112,I_yea,2,Ind
Mary Helen Murguia,2010-12-22,111,I_yea,2,Ind
Raymond Joseph Lohier Jr.,2010-12-19,111,I_yea,2,Ind
O. Rogeriee Thompson,2010-03-17,111,I_yea,2,Ind
Denny Chin,2010-04-22,111,I_yea,2,Ind
Barbara Milano Keenan,2010-03-02,111,I_yea,2,Ind
Thomas I. Vanaskie,2010-04-21,111,I_yea,2,Ind
Jane Branstetter Stranch,2010-09-13,111,I_yea,2,Ind
Beverly Baldwin Martin,2010-01-20,111,I_yea,2,Ind
Joseph A. Greenaway Jr.,2010-02-09,111,I_yea,1,Ind
Gerard E. Lynch,2009-09-17,111,I_yea,2,Ind
Andre M. Davis,2009-11-09,111,I_yea,2,Ind
David F. Hamilton,2009-11-19,111,I_yea,2,Ind
Helene N. White,2008-06-24,110,I_yea,2,Ind
G. Steven Agee,2008-05-20,110,I_yea,2,Ind
John Daniel Tinder,2007-12-18,110,I_yea,2,Ind
Norman Randy Smith,2007-02-15,110,I_yea,2,Ind
Debra Ann Livingston,2007-05-09,110,I_yea,2,Ind
Thomas M. Hardiman,2007-03-15,110,I_yea,2,Ind
Leslie Southwick,2007-10-24,110,I_yea,1,Ind
Kent A. Jordan,2006-12-08,109,I_yea,1,Ind
Kimberly Ann Moore,2006-09-05,109,I_yea,1,Ind
Jerome A. Holmes,2006-07-25,109,I_yea,1,Ind
Milan D. Smith Jr.,2006-05-16,109,I_yea,1,Ind
Sandra Segal Ikuta,2006-06-19,109,I_yea,0,Ind
Michael A. Chagares,2006-04-04,109,I_yea,1,Ind
Brett M. Kavanaugh,2006-05-26,109,I_yea,0,Ind
Thomas B. Griffith,2005-06-14,109,I_yea,0,Ind
William H. Pryor Jr.,2005-06-09,109,I_yea,0,Ind
Susan Bieke Neilson,2005-10-27,109,I_yea,1,Ind
David W. McKeague,2005-06-09,109,I_yea,0,Ind
Richard A. Griffin,2005-06-09,109,I_yea,0,Ind
Priscilla Richman Owen,2005-05-25,109,I_yea,0,Ind
Franklin S. Van Antwerpen,2004-05-20,108,I_yea,1,Ind
Diane S. Sykes,2004-06-24,108,I_yea,0,Ind
Raymond W. Gruender,2004-05-20,108,I_yea,1,Ind
Allyson K. Duncan,2003-07-17,108,I_yea,1,Ind
Carlos T. Bea,2003-09-29,108,I_yea,0,Ind
Richard C. Wesley,2003-06-11,108,I_yea,1,Ind
Michael Chertoff,2003-06-09,108,I_yea,1,Ind
Steven M. Colloton,2003-09-04,108,I_yea,1,Ind
Consuelo Maria Callahan,2003-05-22,108,I_yea,1,Ind
Edward C. Prado,2003-05-01,108,I_yea,1,Ind
Timothy M. Tymkovich,2003-04-01,108,I_yea,0,Ind
Jeffrey S. Sutton,2003-04-29,108,I_yea,0,Ind
Deborah L. Cook,2003-05-05,108,I_yea,0,Ind
Jay S. Bybee,2003-03-13,108,I_yea,1,Ind
Reena Raggi,2002-09-20,107,I_yea,1,Ind
Julia Smith Gibbons,2002-07-29,107,I_yea,1,Ind
D. Brooks Smith,2002-07-31,107,I_yea,0,Ind
Jeffrey R. Howard,2002-04-23,107,I_yea,1,Ind
Harris L. Hartz,2001-12-06,107,I_yea,1,Ind
Richard R. Clifton,2002-07-18,107,I_yea,1,Ind
Edith Brown Clement,2001-11-13,107,I_yea,1,Ind
Dennis W. Shedd,2002-11-19,107,I_yea,0,Ind
Sharon Prost,2001-09-21,107,I_yea,1,Ind
Barrington D. Parker,2001-10-11,107,I_yea,1,Ind
Terrence L. O'Brien,2002-04-15,107,I_yea,1,Ind
Michael J. Melloy,2002-02-11,107,I_yea,1,Ind
William J. Riley,2001-08-02,107,I_yea,1,Ind
Roger L. Gregory,2001-07-20,107,I_yea,1,Ind
